Player,TotalKills
ZywOo,343
ropz,329
flameZ,327
molodoy,263
xertioN,260
mezii,250
apEX,240
910,239
Spinx,239
KSCERATO,228
YEKINDAR,217
torzsi,213
yuurih,208
Jimpphat,202
Techno,201
Brollan,201
donk,195
sh1ro,193
controlez,193
kyousuke,191
m0NESY,191
mzinho,190
bLitz,171
NiKo,164
device,163
FalleN,160
jabbi,153
Magisk,149
Staehr,147
malbsMd,146
HeavyGod,143
tN1R,141
SunPayus,140
MATYS,140
zweih,138
fame,137
LNZ,135
kyxsan,132
FL1T,132
HooXi,132
xfl0ud,131
Perfecto,127
snow,126
TeSeS,124
chopper,124
Alkaren,120
nilo,119
yxngstxr,116
tO0RO,111
nqz,108
b1t,106
z4KR,101
w0nderful,100
iM,100
b1st,95
dgt,94
biguzera,94
dav1deuS,93
westmelon,89
makazze,88
EmiliaQAQ,86
huNter-,84
Ex3rcice,79
Graviti,79
Aleksib,78
Twistzz,72
Starry,71
C4LLM3SU3,69
Maka,65
frozen,64
Lucky,61
bodyy,61
karrigan,55
jcobbb,52
JamYoung,51
Jee,50
Moseyuh,49
Mercury,45
broky,38
Attacker,29
sAw,14
